season,week,season_type,game_date,home_team,away_team,home_score,away_score,home_win,elo_diff,pythagorean_diff,win_pct_diff,ppg_diff,papg_diff,net_ppg_diff,yds_per_play_diff,def_yds_per_play_diff,turnover_diff_diff,passer_rating_diff,third_down_diff,red_zone_diff,injury_impact_diff,qb_out_home,qb_out_away,rest_days_diff,short_week_home,short_week_away,wind_adj,precip_adj,temp_adj,altitude_adj,divisional_game,is_neutral,vegas_home_prob,mc_win_pct
2021,16,2,2021-12-26,CIN,BAL,41,21,1,10.17,0.08,0.0,2.5,-0.86,3.36,0.1,-0.034,11.0,22.553,3.17,0.69,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.57
2021,16,2,2021-12-26,MIN,LAR,23,30,0,-25.52,-0.1076,-0.2143,-1.79,2.79,-4.57,-0.071,0.111,9.0,0.057,-7.498,0.38,0.0,0,0,1,1,1,0.0,0.0,0.0,0.0,0,0,0.5,0.4762
2021,16,2,2021-12-26,NE,BUF,21,33,0,10.02,-0.0013,0.0714,-1.93,-1.14,-0.79,-0.077,-0.046,-1.0,4.194,-2.855,0.86,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5294
2021,16,2,2021-12-26,NYJ,JAX,26,21,1,14.15,0.037,0.0714,3.86,4.14,-0.29,0.154,0.166,7.0,3.884,0.472,6.18,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5485
2021,16,2,2021-12-26,PHI,NYG,34,10,1,53.13,0.2838,0.2143,9.0,-1.64,10.64,0.36,-0.066,8.0,19.051,9.179,17.56,0.0,0,0,-3,1,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6719
2021,16,2,2021-12-26,CAR,TB,6,32,0,-62.9,-0.2513,-0.3571,-9.93,0.5,-10.43,-0.397,0.02,-23.0,-33.086,-11.34,-11.52,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4044
2021,16,2,2021-12-26,HOU,LAC,41,29,1,-70.97,-0.3147,-0.3571,-12.29,0.14,-12.43,-0.491,0.006,4.0,-12.183,-5.5,-12.68,0.0,0,0,-2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.3726
2021,16,2,2021-12-26,SEA,CHI,24,25,0,35.22,0.2084,0.0714,3.0,-4.79,7.79,0.12,-0.191,18.0,27.513,2.584,16.66,0.0,0,0,-1,1,1,0.0,0.0,0.0,0.0,0,0,0.5,0.6342
2021,16,2,2021-12-26,KC,PIT,36,10,1,52.24,0.2336,0.2143,6.71,-2.79,9.5,0.269,-0.111,2.0,12.839,13.283,6.29,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6468
2021,16,2,2021-12-26,LV,DEN,17,13,1,-15.37,-0.2229,0.0,1.0,9.36,-8.36,0.04,0.374,-10.0,2.127,-1.119,-3.05,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4185
2021,16,2,2021-12-27,DAL,WAS,56,14,1,72.35,0.3027,0.2857,8.43,-4.14,12.57,0.337,-0.166,19.0,18.99,4.582,11.08,0.0,0,0,3,0,1,0.0,0.0,0.0,0.0,1,0,0.5,0.6813
2021,16,2,2021-12-28,NO,MIA,3,20,0,11.77,0.1087,0.0,2.0,-1.93,3.93,0.08,-0.077,7.0,1.983,-5.318,-2.29,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5844
2021,17,2,2022-01-02,BUF,ATL,29,15,1,68.55,0.4607,0.1333,9.93,-9.07,19.0,0.397,-0.363,14.0,4.704,7.533,9.19,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.7604
2021,17,2,2022-01-02,CHI,NYG,29,3,1,2.8,0.0221,0.0667,1.13,0.53,0.6,0.045,0.021,-5.0,5.418,-1.8,3.18,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.541
2021,17,2,2022-01-02,CIN,KC,34,31,1,-23.07,-0.0445,-0.1333,-0.73,1.2,-1.93,-0.029,0.048,-4.0,8.816,-12.581,-0.67,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5077
2021,17,2,2022-01-02,TEN,MIA,34,3,1,12.45,0.0727,0.1333,3.47,0.73,2.73,0.139,0.029,-3.0,4.579,2.871,1.08,0.0,0,0,4,0,1,0.0,0.0,0.0,0.0,0,0,0.5,0.5664
2021,17,2,2022-01-02,IND,LV,20,23,0,47.48,0.2803,0.0667,6.93,-4.73,11.67,0.277,-0.189,23.0,-0.353,3.573,4.58,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6701
2021,17,2,2022-01-02,NE,JAX,50,10,1,119.55,0.5271,0.4667,11.4,-9.07,20.47,0.456,-0.363,27.0,23.396,7.692,13.18,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.7935
2021,17,2,2022-01-02,NYJ,TB,24,28,0,-109.88,-0.4555,-0.4667,-11.07,9.13,-20.2,-0.443,0.365,-23.0,-25.605,-10.764,-9.81,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.3022
2021,17,2,2022-01-02,WAS,PHI,16,20,0,-53.76,-0.3084,-0.1333,-6.73,5.93,-12.67,-0.269,0.237,-5.0,-3.407,-6.862,-10.3,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.3758
2021,17,2,2022-01-02,BAL,LAR,19,20,0,-41.11,-0.1422,-0.2,-4.07,2.0,-6.07,-0.163,0.08,-13.0,-17.197,-7.458,-1.07,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.4589
2021,17,2,2022-01-02,LAC,DEN,34,13,1,7.34,-0.0845,0.0667,7.33,10.07,-2.73,0.293,0.403,-2.0,5.668,6.751,6.61,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4878
2021,17,2,2022-01-02,SF,HOU,23,7,1,67.45,0.3287,0.2667,8.6,-4.47,13.07,0.344,-0.179,-7.0,13.983,0.452,18.02,0.0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6944
2021,17,2,2022-01-02,DAL,ARI,22,25,0,17.35,0.0742,0.0667,4.2,0.07,4.13,0.168,0.003,2.0,4.113,-1.828,4.62,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.5671
2021,17,2,2022-01-02,NO,CAR,18,10,1,35.9,0.1482,0.1333,2.6,-2.67,5.27,0.104,-0.107,20.0,18.843,-0.29,5.74,0.0,0,0,-2,1,0,0.0,0.0,0.0,0.0,1,0,0.5,0.6041
2021,17,2,2022-01-02,SEA,DET,51,29,1,44.51,0.2183,0.2,3.13,-5.27,8.4,0.125,-0.211,9.0,14.936,2.564,17.91,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.6392
2021,17,2,2022-01-03,GB,MIN,37,10,1,44.91,0.079,0.3333,-0.07,-3.2,3.13,-0.003,-0.128,2.0,5.754,7.16,-1.81,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.5695
2021,17,2,2022-01-04,PIT,CLE,26,14,1,-11.0,-0.0938,0.0,-0.87,2.8,-3.67,-0.035,0.112,5.0,0.665,-0.239,-8.0,0.0,0,0,-1,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4831
2021,18,2,2022-01-08,DEN,KC,24,28,0,-59.9,-0.1293,-0.25,-8.81,-2.88,-5.94,-0.353,-0.115,-3.0,-6.41,-13.697,-5.57,0.0,0,0,0,0,0,0.0,0.0,0.0,0.3,1,0,0.5,0.4653
2021,18,2,2022-01-09,PHI,DAL,26,51,0,-20.17,-0.0746,-0.125,-3.81,0.12,-3.94,-0.153,0.005,-14.0,-15.583,2.28,-0.78,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4927
2021,18,2,2022-01-09,CLE,CIN,21,16,1,-42.63,-0.1763,-0.1875,-7.25,0.0,-7.25,-0.29,0.0,-3.0,-22.32,-0.463,2.38,0.0,0,0,-2,1,0,0.0,0.0,0.0,0.0,1,0,0.5,0.4419
